Option Set,Scenario,Added Support ($B),Net Impact ($B),Net Impact (% NPR),Providers Below -5% NPR,Providers Below -10% NPR,Preferred?
Rural access options,"B. Current rural access guarantee: 1% NPR, $3M cap",$0.08,-$0.26,-2.3%,6.0%,0.0%,No - conservative option
Rural access options,"C. Enhanced rural access guarantee: 2% NPR, $5M cap",$0.15,-$0.19,-1.7%,4.0%,0.0%,Partial - preferred permanent guarantee only
Rural access options,F. Enhanced guarantee + rural floor at -1.5% NPR,$0.22,-$0.12,-1.1%,0.0%,0.0%,Yes - preferred rural option
Rural access options,"D. High rural access guarantee: 3% NPR, $7.5M cap",$0.22,-$0.12,-1.1%,0.0%,0.0%,No - high-protection sensitivity
Behavioral institutional options,A. Current Base/Base treatment,$0.00,-$0.06,-1.3%,24.0%,11.0%,No - baseline
Behavioral institutional options,B. Reduced behavioral exposure: 50% repricing pressure,$0.00,-$0.03,-0.7%,11.0%,6.0%,No - moderate exposure adjustment
Behavioral institutional options,C. Minimal behavioral exposure: 25% repricing pressure,$0.00,-$0.02,-0.3%,6.0%,2.0%,Partial - exposure adjustment only
Behavioral institutional options,D. Behavioral essential-access floor at -7.5% NPR,$0.01,-$0.06,-1.2%,24.0%,0.0%,No - floor without exposure correction
Behavioral institutional options,F. 25% repricing pressure + -5.0% NPR floor,$0.00,-$0.01,-0.3%,6.0%,0.0%,Yes - preferred behavioral option
