Sensitivity Case,Modeled Providers,Net Patient Revenue ($B),Outpatient/Routine Exposure ($B),Repricing Pressure ($B),UC / Liquidity Offset ($B),Stabilization Support ($B),Net Provider Impact ($B),Net Impact (% of NPR),Median Provider Impact (% of NPR)
Base/Base - all modeled providers,886,$264.92,$135.15,-$13.52,$1.91,$0.30,-$11.30,-4.3%,-4.2%
Base/Base - excluding 11A exposure anomalies,807,$261.88,$133.51,-$13.35,$1.89,$0.29,-$11.17,-4.3%,-4.2%
