Rpt Rec Num,Prvdr Num Chr,Provider Name,City,State Abbrev,Clean Provider Group,Clean Provider Model Class,Revenue Source Method,Net Patient Revenue Model,Outpatient Exposure Used,Outpatient Repricing Pressure,Uncompensated Care Offset,Stabilization Support,Net Provider Impact,Net Provider Impact Pct of Npr,Stabilization Tier,Stabilization Basis,Large Negative Impact Flag,Severe Negative Impact Flag,Permanent Rural Access Eligible Flag,Pediatric Transition Eligible Flag,Case F Temporary Support,Case F Permanent Rural Access Support,Case F Total Added Support,Case F Net Impact,Case F Net Impact Pct Npr
798646,21312,SAMUEL SIMMONDS MEMORIAL HOSPITAL,BARROW,AK,Rural / CAH / IHS,Rural primary care / IHS-like hospital,rural_g200000_l04300_fallback,159122428,37656502.8,-3765650.28,$0,"$376,565",-3389085.252,-0.021298601929327,Tier 2 - moderate transition support,class-based transition protection,FALSE,FALSE,TRUE,FALSE,$0,"$1,591,224","$1,591,224","-$1,797,861",-0.011298601929327
829554,454100,EL PASO PSYCHIATRIC CENTER,EL PASO,TX,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,25282338,2751903,-275190.3,$0,$0,-275190.3,-0.0108846855856448,Tier 0 - not eligible,none,FALSE,FALSE,FALSE,FALSE,$0,$0,$0,"-$275,190",-0.0108846855856448
812390,50776,COLLEGE MEDICAL CENTER,LONG BEACH,CA,Children's / pediatric,Children's / pediatric hospital,standard_g2_l028_split,187926959,31875539.8739978,-3187553.98739978,"$825,501","$318,755",-2043297.3386598,-0.0108728271320551,Tier 2 - moderate transition support,class + UC burden,FALSE,FALSE,FALSE,TRUE,$0,$0,$0,"-$2,043,297",-0.0108728271320551
823870,174006,LARNED STATE HOSPITAL,LARNED,KS,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,117807658,12786892.9,-1278689.29,$0,$0,-1278689.29,-0.0108540421879875,Tier 0 - not eligible,none,FALSE,FALSE,FALSE,FALSE,$0,$0,$0,"-$1,278,689",-0.0108540421879875
829323,234026,KALAMAZOO PSYCHIATRIC HOSPITAL,KALAMAZOO,MI,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,61559404,6556843.6,-655684.36,$0,$0,-655684.36,-0.0106512460711933,Tier 0 - not eligible,none,FALSE,FALSE,FALSE,FALSE,$0,$0,$0,"-$655,684",-0.0106512460711933
829834,450573,JASPER MEMORIAL HOSPITAL,JASPER,TX,General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,39092991,34703135.5350516,-3470313.55350516,"$1,622,209","$1,041,094",-807010.487453614,-0.0206433549035328,Tier 4 - critical transition support,UC burden safety-net trigger,FALSE,FALSE,FALSE,FALSE,"$390,930",$0,"$390,930","-$416,081",-0.0106433549035328
828490,230279,ST. JOHN BRIGHTON,BRIGHTON,MI,General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,13725976,1405393.67812515,-140539.367812515,$0,$0,-140539.367812515,-0.0102389343979995,Tier 0 - not eligible,none,FALSE,FALSE,FALSE,FALSE,$0,$0,$0,"-$140,539",-0.0102389343979995
825368,121307,HALE HOOLA HAMAKUA,HONOKAA,HI,Rural / CAH / IHS,CAH candidate - internally safe,standard_g2_l028_split,27529429,6362527.73306882,-636252.773306883,"$20,419","$63,625",-552208.245976194,-0.0200588339836687,Tier 2 - moderate transition support,class + UC burden,FALSE,FALSE,TRUE,FALSE,$0,"$275,294","$275,294","-$276,914",-0.0100588339836687
822186,212003,DEERS HEAD CENTER,SALISBURY,MD,Specialty / behavioral / rehab,Non-CAH specialty/other in CAH bucket,nonstandard_g200000_l04300_fallback,30066180,3006618,-300661.8,$0,$0,-300661.8,-0.01,Tier 0 - not eligible,none,FALSE,FALSE,FALSE,FALSE,$0,$0,$0,"-$300,662",-0.01
822189,214004,SPRINGFIELD HOSPITAL CENTER,SYKESVILLE,MD,General acute / academic,Large hospital misclassified as CAH,nonstandard_g200000_l04300_fallback,113970399,11397039.9,-1139703.99,$0,$0,-1139703.99,-0.01,Tier 0 - not eligible,none,FALSE,FALSE,FALSE,FALSE,$0,$0,$0,"-$1,139,704",-0.01
