Scenario,Behavioral Providers,Providers Below -5% NPR,Providers Below -10% NPR,Negative Providers,Positive Providers,Added Behavioral Support ($B),Net Behavioral Impact ($B),Net Behavioral Impact (% of NPR),Median Behavioral Impact (% of NPR)
A. Current Base/Base,93,24.0%,11.0%,93,0,$0.00,-$0.06,-1.3%,-1.0%
B. 50% repricing pressure,93,11.0%,6.0%,93,0,$0.00,-$0.03,-0.7%,-0.5%
C. 25% repricing pressure,93,6.0%,2.0%,93,0,$0.00,-$0.02,-0.3%,-0.2%
D. -7.5% floor,93,24.0%,0.0%,93,0,$0.01,-$0.06,-1.2%,-1.0%
E. 50% repricing + -7.5% floor,93,11.0%,0.0%,93,0,$0.00,-$0.03,-0.6%,-0.5%
F. 25% repricing + -5.0% floor,93,6.0%,0.0%,93,0,$0.00,-$0.01,-0.3%,-0.2%
