rpt_rec_num,prvdr_num_chr,provider_name,city,state_abbrev,raw_provider_model_class,clean_provider_group,clean_provider_model_class,behavioral_primary_flag,behavioral_name_review_flag,revenue_source_method,net_patient_revenue_model,outpatient_exposure_used,outpatient_repricing_pressure,uncompensated_care_offset,stabilization_support,net_provider_impact,net_provider_impact_pct_of_npr,stabilization_tier,stabilization_basis
831361,424015,MIDLANDS BEHAVIORAL HEALTH HOSPITAL,SUMTER,SC,Children's hospital,Children's / pediatric,Children's / pediatric hospital,FALSE,TRUE,children_total_only_fallback,4379778,1970900.1,-197090.01,0,19709.001,-177381.009,-0.0405,Tier 2 - moderate transition support,class-based transition protection
817754,290042,HARMON HOSPITAL,LAS VEGAS,NV,Children's hospital,Children's / pediatric,Children's / pediatric hospital,FALSE,TRUE,children_total_only_fallback,37664213,16948895.85,-1694889.585,49190.75,169488.9585,-1476209.8765,-0.0391939658078081,Tier 2 - moderate transition support,class + UC burden
811610,194112,BEACON BEHAVIORAL HOSP CENTRAL,BUNKIE,LA,Children's hospital,Children's / pediatric,Children's / pediatric hospital,FALSE,TRUE,standard_g2_l028_split,6308239,2273196.64538432,-227319.664538432,0,22731.9664538432,-204587.698084589,-0.0324318241722593,Tier 2 - moderate transition support,class-based transition protection
828494,264007,N.W. MO PSYCHIATRIC REHAB CTR,ST.JOSEPH,MO,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,nonstandard_g200000_l04300_fallback,24099251,7695697.7,-769569.77,0,0,-769569.77,-0.0319333480530163,Tier 0 - not eligible,none
829894,384008,OREGON STATE HOSPITAL,SALEM,OR,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,nonstandard_g200000_l04300_fallback,160642502,49758488.1,-4975848.81,0,0,-4975848.81,-0.0309746720080343,Tier 0 - not eligible,none
828495,264008,CENTER FOR BEHAVIORAL MEDICINE,KANSAS CITY,MO,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,nonstandard_g200000_l04300_fallback,15398929,4581005.7,-458100.57,0,0,-458100.57,-0.0297488591576726,Tier 0 - not eligible,none
829556,524002,WINNEBAGO MENTAL HEALTH INSTITUTE,MADISON,WI,Critical access hospital,Rural / CAH / IHS,Rural primary care / IHS-like hospital,FALSE,TRUE,nonstandard_g200000_l04300_fallback,65740777,11673353,-1167335.3,0,116733.53,-1050601.77,-0.0159809758561266,Tier 2 - moderate transition support,class-based transition protection
825556,184004,EASTERN STATE HOSPITAL,LEXINGTON,KY,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,nonstandard_g200000_l04300_fallback,48209699,6813571.1,-681357.11,0,0,-681357.11,-0.0141331956874487,Tier 0 - not eligible,none
824467,54009,RESNICK NEUROPSYCHIATRIC HOSPITAL AT,LOS ANGELES,CA,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,standard_g2_l028_split,70821028,8796423.52467333,-879642.352467333,0,0,-879642.352467333,-0.0124206380125876,Tier 0 - not eligible,none
824913,54144,LANGLEY PORTER PSYCHIATRIC HOSPITAL,SAN FRANCISCO,CA,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,standard_g2_l028_split,23980656,2831413.61381791,-283141.361381791,0,0,-283141.361381791,-0.0118070732252609,Tier 0 - not eligible,none
