clean_provider_group,clean_provider_model_class,revenue_source_method,wksht_cd,line_num_chr,clmn_num_chr,n_reports,median_value,mean_value,total_value,min_value,max_value
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,G200000,01800,00300,6,2498208.5,2728589.16666667,16371535,76384,5661484
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,G300000,00200,00100,5,75190197,57629506.6,288147533,8809477,100106596
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,G300000,02300,00100,5,49377868,46712022.4,233560112,8477197,94643823
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,G000000,01500,00100,5,14550080,43747292.8,218736464,4590313,157026852
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,G000000,03000,00100,5,9300802,36535720,182678600,5759018,147649872
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,G000000,05100,00100,5,4380505,38680928.8,193404644,-4132526,182219586
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,G000000,02300,00100,5,3367935,4776013.4,23880067,2559527,9537706
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,G000000,04500,00100,5,1784713,37162842.4,185814212,-4131251,182219586
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,G300000,02500,00100,4,38135727.5,44886708,179546832,8493339,94782038
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,G000000,05200,00100,4,7587822,39766994.5,159067978,4049743,139842591
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,G000000,05900,00100,4,7587822,39766994.5,159067978,4049743,139842591
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,G100000,01800,00200,4,6031243,16629256.25,66517025,1504,54453035
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,G000000,01100,00100,4,3970610,2491876.75,9967507,-2388171,4414458
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,G000000,03800,00100,4,3876931.5,17567210.25,70268841,-1955786,64470764
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,G200000,00900,00100,4,2309236.5,18330552.25,73322209,238762,68464974
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,G200000,00900,00300,4,2309236.5,18330552.25,73322209,238762,68464974
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,G200000,02700,00100,4,1878744,12875152,51500608,502012,47241108
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,G200000,02700,00300,4,1878744,12875152,51500608,502012,47241108
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,G000000,00100,00100,4,632479.5,604877.25,2419509,-2518768,3673318
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,G000000,00700,00100,4,404667,509366.75,2037467,130597,1097536
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,G100000,01000,00200,3,17403025,16258359.6666667,48775079,13739423,17632631
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,G100000,00400,00100,3,13856507,12093400.3333333,36280201,5020669,17403025
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,G200000,03600,00200,3,6356746,6569474.66666667,19708424,2575513,10776165
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,G200000,03100,00100,3,5155670,5256178.33333333,15768535,798164,9814701
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,G000000,00400,00100,3,5020669,5135085,15405255,1913818,8470768
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,G000000,04900,00100,3,2595792,2530144,7590432,-1275,4995915
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,G000000,05000,00100,3,2595792,2530144,7590432,-1275,4995915
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,G100000,01100,00400,3,290780,224515,673545,55262,327503
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,nonstandard_g200000_l04300_fallback,G000000,01200,00100,3,172321,2338358.33333333,7015075,67550,6775204
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,standard_g2_l028_split,G200000,04300,00200,17,86986399,88170149.4117647,1498892540,29079714,200857026
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,standard_g2_l028_split,G300000,00400,00100,17,86986399,88170149.4117647,1498892540,29079714,200857026
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,standard_g2_l028_split,G200000,02900,00200,17,80126063,84971114.7058824,1444508950,29079714,194278900
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,standard_g2_l028_split,G200000,02800,00300,17,78894857,92132693.7058823,1566255793,25996074,185533837
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,standard_g2_l028_split,G300000,00100,00100,17,78894857,92132693.7058823,1566255793,25996074,185533837
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,standard_g2_l028_split,G200000,02800,00100,17,78889857,92094178.5294118,1565601035,25977679,185509250
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,standard_g2_l028_split,G200000,01700,00100,17,77818844,87072894.0588235,1480239199,22584147,174712074
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,standard_g2_l028_split,G200000,01700,00300,17,77818844,87072894.0588235,1480239199,22584147,174712074
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,standard_g2_l028_split,G200000,01000,00100,17,77652503,80525864.0588235,1368939689,7626621,174712074
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,standard_g2_l028_split,G200000,01000,00300,17,77652503,80525864.0588235,1368939689,7626621,174712074
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,standard_g2_l028_split,G200000,00100,00100,17,54150496,63447270.1176471,1078603592,1138387,169554170
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,standard_g2_l028_split,G200000,00100,00300,17,54150496,63447270.1176471,1078603592,1138387,169554170
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,standard_g2_l028_split,G300000,00300,00100,17,52391016,61364204.8823529,1043191483,4040835,185190109
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,standard_g2_l028_split,G100000,01100,00200,17,3522253,-89263590.8235294,-1517481044,-569856120,356841330
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,standard_g2_l028_split,G000000,03600,00100,15,16128423,-102645170.533333,-1539677558,-565364760,168499053
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,standard_g2_l028_split,G000000,06000,00100,15,16128422,-102645170.533333,-1539677558,-565364760,168499051
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,standard_g2_l028_split,G000000,05200,00100,15,9270173,-110321017.266667,-1654815259,-570474766,134945438
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,standard_g2_l028_split,G000000,05900,00100,15,9270173,-110321017.266667,-1654815259,-570474766,134945438
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,standard_g2_l028_split,G100000,00100,00200,14,15439839.5,-114110926.5,-1597552971,-474822570,187207618
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,standard_g2_l028_split,G200000,01800,00300,12,4556957.5,6906869.75,82882437,2402,20701772
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,standard_g2_l028_split,G000000,05100,00100,10,5317330.5,11513770.1,115137701,-1044315,75298349
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,standard_g2_l028_split,G000000,04500,00100,10,4072734.5,10085278.8,100852788,-1044315,75298349
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,standard_g2_l028_split,G300000,00200,00100,9,58183144,58118256.6666667,523064310,343728,126815203
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,standard_g2_l028_split,G000000,03000,00100,9,16128423,41439864.6666667,372958782,377452,184232704
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,standard_g2_l028_split,G200000,01800,00100,9,8568812,9136984.22222222,82232858,20,20695025
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,standard_g2_l028_split,G000000,02300,00100,8,2777421.5,3671131.625,29369053,1386603,8372135
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,standard_g2_l028_split,G100000,01000,00200,7,35096742,105654877.428571,739584142,309322,468828169
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,standard_g2_l028_split,G000000,01500,00100,7,30388238,68077571.1428572,476542998,23225180,175700719
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,standard_g2_l028_split,G000000,03800,00100,6,4948957.5,3983255.5,23899533,416409,5400253
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,standard_g2_l028_split,G000000,00700,00100,6,3602080,79612132.6666667,477672796,651253,463346265
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,standard_g2_l028_split,G200000,03600,00200,5,8696300,11243910.8,56219554,4127842,26708809
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,standard_g2_l028_split,G100000,01800,00200,5,3277361,40496240.6,202481203,1,186192207
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,standard_g2_l028_split,G200000,03100,00100,5,2423270,3481998.6,17409993,83977,7007019
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,standard_g2_l028_split,G100000,00400,00100,5,328953,94316939.8,471584699,2500,468828169
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,standard_g2_l028_split,G300000,02300,00100,4,24214729.5,27937925.25,111751701,4532437,58789805
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,standard_g2_l028_split,G200000,03000,00100,4,5705627,6056507.5,24226030,626279,12188497
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,standard_g2_l028_split,G200000,03200,00100,4,2043234,2657397,10629588,588225,5954895
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,standard_g2_l028_split,G000000,01900,00100,4,1548631,2666864.5,10667458,540571,7029625
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,standard_g2_l028_split,G200000,02700,00100,4,854586.5,771902.5,3087610,11267,1367170
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,standard_g2_l028_split,G200000,02700,00300,4,854586.5,771902.5,3087610,11267,1367170
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,standard_g2_l028_split,G000000,01300,00100,4,630856.5,4230198.5,16920794,6620,15652461
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,standard_g2_l028_split,G100000,00500,00100,3,35096742,78835312.6666667,236505938,16643921,184765275
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,standard_g2_l028_split,G000000,00400,00100,3,14089021,17514944,52544832,207946,38247865
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,standard_g2_l028_split,G100000,01200,00100,3,405465,1227609,3682827,1,3277361
