clean_provider_group,providers,providers_in_model,total_net_patient_revenue,total_gross_patient_revenue,total_outpatient_exposure_used,total_outpatient_repricing_pressure,total_uncompensated_care_offset,total_stabilization_support,total_net_provider_impact,net_impact_pct_of_total_npr,median_provider_impact_pct_of_npr,providers_negative_net_impact,providers_positive_net_impact,providers_large_negative_net_impact,stabilization_eligible,diagnostic_margin_stress_tier_3_or_4
Children's / pediatric,83,73,6152021573,23663091031,2961048043.48525,-296104804.348525,30382851.5,30389952.1288959,-235332000.719629,-0.0382527918550309,-0.0405,71,2,20,83,22
General acute / academic,618,604,239969612513,968249966374,126230222075.91,-12623022207.591,1838973341.25,216937585.525152,-10567111280.8159,-0.0440352058335861,-0.0465715283760188,600,10,256,155,253
Rural / CAH / IHS,68,68,11117368741,23192282063,4105929664.92234,-410592966.492234,28075068.75,41339264.0063999,-341178633.735834,-0.0306887935161846,-0.027,66,2,10,68,57
Specialty / behavioral / rehab,143,141,7680004521,15065589850,1857399913.07272,-185739991.307272,24545624.5,10635897.9834477,-150558468.823825,-0.0196039557544714,-0.01,139,2,34,17,125
