rpt_rec_num,revenue_source_method,revenue_use_for_model_flag,standard_revenue_use_for_model_flag,rural_fallback_use_for_model_flag,children_total_only_fallback_use_for_model_flag,nonstandard_fallback_use_for_model_flag,rural_fallback_available_flag,children_total_only_fallback_available_flag,nonstandard_fallback_candidate_flag,nonstandard_fallback_failed_plausibility_flag,fallback_crosscheck_ratio,fallback_crosscheck_plausible_flag,rural_fallback_net_to_gross_ratio,rural_fallback_net_to_gross_plausible_flag,children_total_only_net_to_gross_ratio,children_total_only_net_to_gross_plausible_flag,nonstandard_fallback_net_to_gross_ratio,nonstandard_fallback_net_to_gross_plausible_flag,gross_inpatient_patient_revenue,gross_outpatient_patient_revenue,gross_total_patient_revenue,gross_revenue_sum_check,gross_total_minus_inpatient_outpatient,net_patient_revenue,net_to_gross_ratio,outpatient_gross_share,inpatient_gross_share,net_outpatient_exposure_base,net_outpatient_exposure_low,net_outpatient_exposure_high,standard_gross_inpatient_patient_revenue,standard_gross_outpatient_patient_revenue,standard_gross_total_patient_revenue,standard_net_patient_revenue,standard_net_to_gross_ratio,standard_outpatient_gross_share,standard_inpatient_gross_share,standard_net_outpatient_exposure_base,fallback_g200000_l04300_c002,fallback_g300000_l00400_c001,fallback_g200000_l02900_c002,fallback_total_revenue,rural_fallback_net_patient_revenue_proxy,rural_fallback_outpatient_share_low,rural_fallback_outpatient_share_base,rural_fallback_outpatient_share_high,rural_fallback_net_outpatient_exposure_low,rural_fallback_net_outpatient_exposure_base,rural_fallback_net_outpatient_exposure_high,children_fallback_g200000_l02800_c003,children_fallback_g200000_l02800_c001,children_fallback_g300000_l00100_c001,children_fallback_g300000_l00300_c001,children_fallback_total_revenue,children_fallback_net_patient_revenue,children_fallback_outpatient_share_low,children_fallback_outpatient_share_base,children_fallback_outpatient_share_high,children_fallback_net_outpatient_exposure_low,children_fallback_net_outpatient_exposure_base,children_fallback_net_outpatient_exposure_high,nonstandard_fallback_net_patient_revenue_proxy,nonstandard_fallback_outpatient_share_low,nonstandard_fallback_outpatient_share_base,nonstandard_fallback_outpatient_share_high,nonstandard_fallback_net_outpatient_exposure_low,nonstandard_fallback_net_outpatient_exposure_base,nonstandard_fallback_net_outpatient_exposure_high,g3_line_00400_c001,g3_line_00500_c001,g3_line_00600_c001,g3_line_00700_c001,g2_revenue_complete_flag,g3_net_patient_revenue_complete_flag,net_to_gross_plausible_flag,gross_sum_check_plausible_flag
824851,standard_g2_l028_split,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,0.863860991648809,FALSE,0.256827571476949,FALSE,0.863860991648809,FALSE,61051659,207825863,268877522,268877522,0,69055161,0.256827571476949,0.772938776935024,0.227061223064976,53375411.6843912,53375411.6843912,53375411.6843912,61051659,207825863,268877522,69055161,0.256827571476949,0.772938776935024,0.227061223064976,53375411.6843912,79937816,79937816,79937816,79937816,69055161,0.2,0.3,0.4,,,,268877522,61051659,268877522,69055161,268877522,69055161,0.3,0.45,0.6,,,,69055161,0.05,0.1,0.15,,,,79937816,-10882655,174293,,TRUE,TRUE,TRUE,TRUE
824866,standard_g2_l028_split,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,1.03550659655397,FALSE,0.464554833773383,FALSE,1.03550659655397,FALSE,2708326024,5003515564,7711841588,7711841588,0,3582573287,0.464554833773383,0.648809432468856,0.351190567531144,2324407341.11655,2324407341.11655,2324407341.11655,2708326024,5003515564,7711841588,3582573287,0.464554833773383,0.648809432468856,0.351190567531144,2324407341.11655,3459730048,3459730048,3459730048,3459730048,3582573287,0.2,0.3,0.4,,,,7711841588,2708326024,7711841588,3582573287,7711841588,3582573287,0.3,0.45,0.6,,,,3582573287,0.05,0.1,0.15,,,,3459730048,122843239,,,TRUE,TRUE,TRUE,TRUE
824885,standard_g2_l028_split,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,1.17526111636052,FALSE,0.390548263907029,FALSE,1.17526111636052,FALSE,22302815,3748526,26051341,26051341,0,10174306,0.390548263907029,0.143889944091554,0.856110055908446,1463980.32151036,1463980.32151036,1463980.32151036,22302815,3748526,26051341,10174306,0.390548263907029,0.143889944091554,0.856110055908446,1463980.32151036,8657060,8657060,7694331,8657060,10174306,0.2,0.3,0.4,,,,26051341,22302815,26051341,10174306,26051341,10174306,0.3,0.45,0.6,,,,10174306,0.05,0.1,0.15,,,,8657060,1517246,106339,,TRUE,TRUE,TRUE,TRUE
824895,standard_g2_l028_split,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,0.976327663612343,FALSE,0.162374238125587,FALSE,0.976327663612343,FALSE,1588577120,1066353391,2654930511,2654930511,0,431092319,0.162374238125587,0.401650207635133,0.598349792364867,173148319.436261,173148319.436261,173148319.436261,1588577120,1066353391,2654930511,431092319,0.162374238125587,0.401650207635133,0.598349792364867,173148319.436261,441544714,441544714,441544714,441544714,431092319,0.2,0.3,0.4,,,,2654930511,1588577120,2654930511,431092319,2654930511,431092319,0.3,0.45,0.6,,,,431092319,0.05,0.1,0.15,,,,441544714,-10452395,26000,,TRUE,TRUE,TRUE,TRUE
824911,g2_total_only_no_outpatient_split,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,0.384103535778369,FALSE,0.996491424640544,FALSE,0.384103535778369,FALSE,,,1535096,,,1529710,0.996491424640544,,,,,,1535096,,1535096,1529710,0.996491424640544,,1,,3982546,3982546,3982546,3982546,1529710,0.2,0.3,0.4,,,,1535096,1535096,1535096,1529710,1535096,1529710,0.3,0.45,0.6,,,,1529710,0.05,0.1,0.15,,,,3982546,-2452836,511783,46614,FALSE,TRUE,TRUE,FALSE
824913,standard_g2_l028_split,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,0.728966088683503,FALSE,0.243001561541254,FALSE,0.728966088683503,FALSE,87033360,11651833,98685193,98685193,0,23980656,0.243001561541254,0.118070732252609,0.881929267747391,2831413.61381791,2831413.61381791,2831413.61381791,87033360,11651833,98685193,23980656,0.243001561541254,0.118070732252609,0.881929267747391,2831413.61381791,32896806,32896806,32896806,32896806,23980656,0.2,0.3,0.4,,,,98685193,87033360,98685193,23980656,98685193,23980656,0.3,0.45,0.6,,,,23980656,0.05,0.1,0.15,,,,32896806,-8916150,,,TRUE,TRUE,TRUE,TRUE
824921,nonstandard_fallback_failed_plausibility,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1,TRUE,2.0909442344286,FALSE,1.90366305875943,FALSE,2.0909442344286,FALSE,,,242884201,,,462369681,1.90366305875943,,,,,,242884201,,242884201,462369681,1.90366305875943,,1,,221129609,221129609,183953733,221129609,462369681,0.2,0.3,0.4,,,,242884201,242884201,242884201,462369681,242884201,462369681,0.3,0.45,0.6,,,,462369681,0.05,0.1,0.15,,,,221129609,241240072,,,FALSE,TRUE,FALSE,FALSE
824941,nonstandard_g200000_l04300_fallback,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1,TRUE,1,FALSE,,FALSE,1,TRUE,,,122300758,,,122300758,1,0.1,0.9,12230075.8,6115037.9,18345113.7,,,,,,,,,122300758,122300758,122300758,122300758,122300758,0.2,0.3,0.4,,,,,,,,,,0.3,0.45,0.6,,,,122300758,0.05,0.1,0.15,6115037.9,12230075.8,18345113.7,122300758,-122300758,,,FALSE,FALSE,TRUE,FALSE
824943,standard_g2_l028_split,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,0.785599199155251,FALSE,0.903312348788813,FALSE,0.785599199155251,FALSE,32734280,291137,33025417,33025417,0,29832267,0.903312348788813,0.0088155434948785,0.991184456505122,262987.647289329,262987.647289329,262987.647289329,32734280,291137,33025417,29832267,0.903312348788813,0.0088155434948785,0.991184456505122,262987.647289329,37973902,37973902,37973902,37973902,29832267,0.2,0.3,0.4,,,,33025417,32734280,33025417,29832267,33025417,29832267,0.3,0.45,0.6,,,,29832267,0.05,0.1,0.15,,,,37973902,-8141635,,,TRUE,TRUE,TRUE,TRUE
824950,standard_g2_l028_split,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE,1.12973934211138,FALSE,0.217071333154662,FALSE,1.12973934211138,FALSE,21202254,177998287,199200541,199200541,0,43240727,0.217071333154662,0.893563270995333,0.106436729004667,38638325.4583362,38638325.4583362,38638325.4583362,21202254,177998287,199200541,43240727,0.217071333154662,0.893563270995333,0.106436729004667,38638325.4583362,38274959,38274959,38274959,38274959,43240727,0.2,0.3,0.4,,,,199200541,21202254,199200541,43240727,199200541,43240727,0.3,0.45,0.6,,,,43240727,0.05,0.1,0.15,,,,38274959,4965768,42071,443522,TRUE,TRUE,TRUE,TRUE
