rpt_rec_num,prvdr_num_chr,provider_name,city,state_abbrev,raw_provider_model_class,clean_provider_model_class,revenue_source_method,revenue_use_for_model_flag,gross_total_patient_revenue_model,net_patient_revenue_model,net_outpatient_exposure_base_model,revenue_present_but_not_model_flag,exposure_missing_or_zero_flag,net_outpatient_exposure_to_npr_ratio,uncompensated_care_cost_model,stabilization_tier
814436,194118,MERCY BEHAVIORAL HOSPITAL,LECOMPTE,LA,Short-term acute/general hospital,Psychiatric / behavioral hospital,missing_or_unusable,FALSE,0,0,0,FALSE,FALSE,,0,Tier 0 - not eligible
824921,064001,CO MENTAL HEALTH INSTITUTE - PUEBLO,PUEBLO,CO,Critical access hospital,Psychiatric / behavioral hospital,nonstandard_fallback_failed_plausibility,FALSE,0,0,0,FALSE,FALSE,,0,Tier 0 - not eligible
