provider_model_class,wksht_cd,line_num_chr,clmn_num_chr,n_rows,n_reports,nonzero_reports,min_value,p25_value,median_value,mean_value,p75_value,max_value,total_value
Critical access hospital,G000000,03900,00400,1,1,1,2367,2367,2367,2367,2367,2367,2367
Critical access hospital,G000000,04000,00100,26,26,26,-41646825,1212731.25,17846386.5,41417383.8846154,65131770.25,226520103,1076851981
Critical access hospital,G000000,04000,00400,1,1,1,30826383,30826383,30826383,30826383,30826383,30826383,30826383
Critical access hospital,G000000,04100,00100,20,20,20,13581,1265846.25,8273399.5,37708767.05,40342823.5,389781177,754175341
Critical access hospital,G000000,04100,00200,2,2,2,37841677,48999152,60156627,60156627,71314102,82471577,120313254
Critical access hospital,G000000,04100,00400,1,1,1,13287601,13287601,13287601,13287601,13287601,13287601,13287601
Critical access hospital,G000000,04300,00100,34,34,34,-35389459,-16592,1700964.5,2449412550.17647,9695893.25,82719197603,83280026706
Critical access hospital,G000000,04300,00200,5,5,5,-1533,39357,1086603,2104491.2,3551701,5846328,10522456
Critical access hospital,G000000,04300,00300,1,1,1,2283957,2283957,2283957,2283957,2283957,2283957,2283957
Critical access hospital,G000000,04300,00400,1,1,1,4609,4609,4609,4609,4609,4609,4609
Critical access hospital,G000000,04400,00100,74,74,74,-47264440,126526.25,6037077,90747019.9324324,72609155,1659148778,6715279475
Critical access hospital,G000000,04400,00200,10,10,10,166,2193.5,23488,47043565.1,30682847,328745167,470435651
Critical access hospital,G000000,04400,00300,2,2,2,-32941991,-24726610.25,-16511229.5,-16511229.5,-8295848.75,-80468,-33022459
Critical access hospital,G000000,04400,00400,2,2,2,3446186,20228986.25,37011786.5,37011786.5,53794586.75,70577387,74023573
Critical access hospital,G000000,04500,00100,117,117,117,-98660111,2546872,13281345,849934495.25641,128508327,82771569032,99442335945
Critical access hospital,G000000,04500,00200,12,12,12,-1368,4664.5,33669.5,76526724.5,60668566.75,418951279,918320694
Critical access hospital,G000000,04500,00300,4,4,4,-32581943,-8205836.75,-40333.5,-7594663.25,570840,2283957,-30378653
Critical access hospital,G000000,04500,00400,4,4,4,4609,19515800.5,44182215.5,76387152,101053567,217179568,305548608
Critical access hospital,G000000,04600,00100,6,6,6,85573,6474958,419216398.5,477901582.166667,884342259.5,1120612432,2867409493
Critical access hospital,G000000,04700,00100,28,28,28,-338986,3315320.5,26375173.5,310548316.821429,303658739.5,2661095000,8695352871
Critical access hospital,G000000,04700,00200,1,1,1,8500000,8500000,8500000,8500000,8500000,8500000,8500000
Critical access hospital,G000000,04700,00400,2,2,2,19022782,62123099,105223416,105223416,148323733,191424050,210446832
Critical access hospital,G000000,04800,00100,8,8,8,-35900000,16887093,86011572.5,647913582.125,348694168,4314450000,5183308657
Critical access hospital,G000000,04900,00100,65,65,65,-22483059,4140795,95786888,951469300.876923,829355250,14167875942,61845504557
Critical access hospital,G000000,04900,00200,2,2,2,3537748,6435344.25,9332940.5,9332940.5,12230536.75,15128133,18665881
Critical access hospital,G000000,04900,00300,2,2,2,191775,1583420.75,2975066.5,2975066.5,4366712.25,5758358,5950133
Critical access hospital,G000000,04900,00400,2,2,2,265597,29953772.5,59641948,59641948,89330123.5,119018299,119283896
Critical access hospital,G000000,05000,00100,76,76,76,-22483059,5097720.75,77970060,1034099678.65789,923058391,14175651956,78591575578
Critical access hospital,G000000,05000,00200,3,3,3,3537748,6018874,8500000,9055293.66666667,11814066.5,15128133,27165881
Critical access hospital,G000000,05000,00300,2,2,2,191775,1583420.75,2975066.5,2975066.5,4366712.25,5758358,5950133
Critical access hospital,G000000,05000,00400,3,3,3,19022782,69020540.5,119018299,109910242.666667,155353973,191689647,329730728
Critical access hospital,G100000,00100,00200,163,163,163,-1685226884,-95535112.5,4641124,58273466.6196319,79355731.5,8718190656,9498575059
Critical access hospital,G100000,00100,00400,13,13,13,-40934884,8672,46104,79967279,34434266,810841068,1039574627
Critical access hospital,G100000,00100,00600,9,9,9,19388,124019,2540615,319307245.444444,116210636,1874496363,2873765209
Critical access hospital,G100000,00100,00800,9,9,9,-3919500,7219938,295072063,918592591.666667,529034312,4942735748,8267333325
Critical access hospital,G100000,00200,00200,226,226,226,-639402676,-62859524,-24460671.5,-16652257.3672566,431947.5,1571105356,-3763410165
Critical access hospital,G100000,00300,00200,231,231,231,-1262522257,-87671627.5,-22503569,24827553.6536797,22497718.5,10289296012,5735164894
Critical access hospital,G100000,00300,00400,13,13,13,-40934884,8672,46104,79967279,34434266,810841068,1039574627
Critical access hospital,G100000,00300,00600,9,9,9,19388,124019,2540615,319307245.444444,116210636,1874496363,2873765209
Critical access hospital,G100000,00300,00800,9,9,9,-3919500,7219938,295072063,918592591.666667,529034312,4942735748,8267333325
Critical access hospital,G100000,00400,00100,38,38,38,1,2658098.5,14633683.5,250920499.631579,40939049,7284124888,9534978986
Critical access hospital,G100000,00400,00300,5,5,5,33488,39282,8661373,552453197.6,537148570,2216383275,2762265988
Critical access hospital,G100000,00400,00500,5,5,5,944,71850,79599,4782181.4,3598230,20160284,23910907
Critical access hospital,G100000,00400,00700,2,2,2,3501079,29827372.75,56153666.5,56153666.5,82479960.25,108806254,112307333
Critical access hospital,G100000,00500,00100,23,23,23,-3672103,296234,12144512,125421886.652174,34001141,1392219653,2884703393
Critical access hospital,G100000,00500,00300,5,5,5,10129,63991,340352,33981554,12142922,157350376,169907770
Critical access hospital,G100000,00500,00500,3,3,3,5000,1930174,3855348,30924970,46384955,88914562,92774910
Critical access hospital,G100000,00500,00700,2,2,2,960592,10908741,20856890,20856890,30805039,40753188,41713780
Critical access hospital,G100000,00600,00100,15,15,15,-14432,8042.5,610213,17467102.4666667,23976020.5,94547284,262006537
Critical access hospital,G100000,00600,00300,4,4,4,10111,18587.5,8835574.5,18801131,27618118,57523264,75204524
Critical access hospital,G100000,00600,00500,1,1,1,13080061,13080061,13080061,13080061,13080061,13080061,13080061
Critical access hospital,G100000,00600,00700,1,1,1,193188883,193188883,193188883,193188883,193188883,193188883,193188883
Critical access hospital,G100000,00700,00100,10,10,10,-244607,1313471.5,12707097.5,38379842.8,29436689.75,150654850,383798428
Critical access hospital,G100000,00700,00300,2,2,2,267,16587831.75,33175396.5,33175396.5,49762961.25,66350526,66350793
Critical access hospital,G100000,00700,00500,2,2,2,5095,9511387.25,19017679.5,19017679.5,28523971.75,38030264,38035359
Critical access hospital,G100000,00700,00700,1,1,1,133869,133869,133869,133869,133869,133869,133869
Critical access hospital,G100000,00800,00100,3,3,3,-5907,168152,342211,2835380.66666667,4256024.5,8169838,8506142
Critical access hospital,G100000,00800,00300,2,2,2,7965,76223.5,144482,144482,212740.5,280999,288964
Critical access hospital,G100000,00800,00700,2,2,2,71072,50231886.25,100392700.5,100392700.5,150553514.75,200714329,200785401
Critical access hospital,G100000,00900,00100,7,7,7,1,2342978,7560000,34910614.7142857,43545233.5,145037879,244374303
Critical access hospital,G100000,00900,00500,1,1,1,131088,131088,131088,131088,131088,131088,131088
Critical access hospital,G100000,01000,00200,57,57,57,-3672103,3150000,16385150,233655575.245614,58754090,8676344541,13318367789
Critical access hospital,G100000,01000,00400,11,11,11,10111,41449.5,281266,279456185.363636,33092318.5,2312534424,3074018039
Critical access hospital,G100000,01000,00600,8,8,8,944,55161.25,107843.5,20991540.625,29761188.75,88914562,167932325
Critical access hospital,G100000,01000,00800,4,4,4,204941,771679.25,54883423,137032316.5,191144060.25,438157479,548129266
Critical access hospital,G100000,01100,00200,230,230,230,-1109282893,-85419313,-19675526,82841446.4478261,25743270.5,18965640553,19053532683
Critical access hospital,G100000,01100,00400,13,13,13,2889,64235,327503,316430205.076923,43095639,3123375492,4113592666
Critical access hospital,G100000,01100,00600,9,9,9,20332,181493,2676703,337966392.666667,136370920,1963410925,3041697534
Critical access hospital,G100000,01100,00800,9,9,9,-3919500,7424879,347257808,979495843.444444,529034312,4943696340,8815462591
Critical access hospital,G100000,01200,00100,30,30,30,-3020709,12355.5,976055,241841939.9,12916778.5,6701960075,7255258197
Critical access hospital,G100000,01200,00300,7,7,7,811,141215.5,2235263,401163394.285714,357694780,2090235695,2808143760
Critical access hospital,G100000,01200,00500,3,3,3,-80468,-40221,26,-10545,24416.5,48807,-31635
Critical access hospital,G100000,01200,00700,3,3,3,-1055605,125120591,251296787,214137058,321733389.5,392169992,642411174
