rpt_rec_num,prvdr_num_chr,provider_name,city,state_abbrev,raw_provider_model_class,clean_provider_model_class,clean_provider_group,revenue_source_method,revenue_use_for_model_flag,operating_revenue_candidate,operating_income_candidate,operating_margin_candidate,diagnostic_margin_stress_tier,diagnostic_margin_note,stabilization_tier,stabilization_basis,annual_transition_support_cap_model
821321,232019,VIBRA HOSPITAL SOUTHEASTERN MICHIGAN,DETROIT,MI,Children's hospital,Children's / pediatric hospital,Children's / pediatric,children_total_only_fallback,TRUE,29793858,-2432247,-0.0816358525975387,3,diagnostic severe margin stress; not used for final tier,Tier 2 - moderate transition support,class-based transition protection,123127.2495
811972,444021,BEHAVORIAL HEALTH CENTERS,COLUMBIA,TN,Children's hospital,Children's / pediatric hospital,Children's / pediatric,children_total_only_fallback,TRUE,6409017,-479599,-0.0748319126006375,3,diagnostic severe margin stress; not used for final tier,Tier 2 - moderate transition support,class-based transition protection,26682.381
812568,111316,WARM SPRINGS MEDICAL CENTER,WARM SPRINGS,GA,Children's hospital,Children's / pediatric hospital,Children's / pediatric,standard_g2_l028_split,TRUE,18521824,-1383290,-0.0746843291459848,3,diagnostic severe margin stress; not used for final tier,Tier 2 - moderate transition support,class + UC burden,74472.9065229249
814427,193094,PATHWAY REHABILITATION HOSPITAL LLC,BOSSIER CITY,LA,Children's hospital,Children's / pediatric hospital,Children's / pediatric,children_total_only_fallback,TRUE,7612696,-542306,-0.0712370492661207,3,diagnostic severe margin stress; not used for final tier,Tier 2 - moderate transition support,class-based transition protection,31816.755
813135,360150,WESTERN RESERVE HOSPITAL,CUYAHOGA FALLS,OH,Children's hospital,Children's / pediatric hospital,Children's / pediatric,standard_g2_l028_split,TRUE,173887907,-11821760,-0.0679849461872009,3,diagnostic severe margin stress; not used for final tier,Tier 2 - moderate transition support,class + UC burden,1184222.21022616
828961,450690,UT HEALTH CENTER AT TYLER,TYLER,TX,Critical access hospital,Academic / major medical center,General acute / academic,standard_g2_l028_split,TRUE,480079550,-295830075,-0.616210532192009,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
826524,360085,THE OHIO STATE UNIVERSITY HOSPITAL,COLUMBUS,OH,Critical access hospital,Academic / major medical center,General acute / academic,standard_g2_l028_split,TRUE,3404501984,-1379045384,-0.405065231414475,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
817482,330354,ROSWELL PARK CANCER INSTITUTE,BUFFALO,NY,Critical access hospital,Academic / major medical center,General acute / academic,standard_g2_l028_split,TRUE,1332089130,-446969950,-0.335540573024569,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
824460,050481,UCLA WEST VALLEY MEDICAL CENTER,WEST HILLS,CA,Critical access hospital,Academic / major medical center,General acute / academic,standard_g2_l028_split,TRUE,322560899,-99527349,-0.308553669426622,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
823937,420004,MEDICAL UNIVERSITY OF SOUTH CAROLINA,CHARLESTON,SC,Critical access hospital,Academic / major medical center,General acute / academic,standard_g2_l028_split,TRUE,3528408241,-1016717984,-0.288152026226945,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
824456,050327,LOMA LINDA UNIVERSITY MEDICAL CENTER,LOMA LINDA,CA,Short-term acute/general hospital,Academic / major medical center,General acute / academic,standard_g2_l028_split,TRUE,2003719555,-446967298,-0.223068790682137,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
826275,050581,UCI HEALTH - LAKEWOOD,LAKEWOOD,CA,Critical access hospital,Academic / major medical center,General acute / academic,standard_g2_l028_split,TRUE,318836706,-69650447,-0.218451783277425,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
818877,160029,UNIVERSITY OF IOWA HEALTH CARE MEDIC,IOWA CITY,IA,Critical access hospital,Academic / major medical center,General acute / academic,standard_g2_l028_split,TRUE,189900621,-41115909,-0.216512767485895,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
827418,310119,UH - UNIVERSITY HOSPITAL,NEWARK,NJ,Critical access hospital,Academic / major medical center,General acute / academic,standard_g2_l028_split,TRUE,1073504171,-214711354,-0.200009799496159,4,diagnostic severe margin stress; not used for final tier,Tier 3 - high transition support,UC burden safety-net trigger,6397042.56833966
824743,140150,BOARD OF TRUSTEES OF THE UNIVERSITY,CHICAGO,IL,Critical access hospital,Academic / major medical center,General acute / academic,standard_g2_l028_split,TRUE,1636066763,-320499860,-0.195896565621998,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
829284,450018,THE UNIVERSITY OF TEXAS MEDICAL BR.,GALVESTON,TX,Critical access hospital,Academic / major medical center,General acute / academic,standard_g2_l028_split,TRUE,1865657389,-348326782,-0.186704581480903,4,diagnostic severe margin stress; not used for final tier,Tier 2 - moderate transition support,UC burden safety-net trigger,8661715.78272417
813677,330241,UNIVERSITY HOSPITAL AT SYRACUSE,SYRACUSE,NY,Critical access hospital,Academic / major medical center,General acute / academic,standard_g2_l028_split,TRUE,2182613192,-329204553,-0.150830460572054,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
828186,160058,UNIVERSITY OF IOWA HEALTH CARE MEDIC,IOWA CITY,IA,Critical access hospital,Academic / major medical center,General acute / academic,standard_g2_l028_split,TRUE,3090613569,-448114370,-0.144992041222738,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
824333,320001,UNIVERSITY OF NEW MEXICO HOSPITAL,ALBUQUERQUE,NM,Critical access hospital,Academic / major medical center,General acute / academic,standard_g2_l028_split,TRUE,1859821804,-265670981,-0.142847546162009,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
813036,330393,STONY BROOK UNIVERSITY HOSPITAL,STONY BROOK,NY,Critical access hospital,Academic / major medical center,General acute / academic,standard_g2_l028_split,TRUE,2472525735,-314366352,-0.127143813934863,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
823942,420117,MEDICAL UNIVERSITY HOSPITAL AUTHORIT,CADES,SC,Critical access hospital,Academic / major medical center,General acute / academic,standard_g2_l028_split,TRUE,36262819,-4432813,-0.122241268666951,4,diagnostic severe margin stress; not used for final tier,Tier 2 - moderate transition support,UC burden safety-net trigger,249685.31797256
813664,310019,ST. JOSEPHS UNIVERSITY MEDICAL CENT,PATERSON,NJ,Short-term acute/general hospital,Academic / major medical center,General acute / academic,standard_g2_l028_split,TRUE,1051568544,-115600543,-0.109931533859195,4,diagnostic severe margin stress; not used for final tier,Tier 2 - moderate transition support,UC burden safety-net trigger,3541115.55289994
798531,010087,USA HEALTH UNIVERSITY HOSPITAL,MOBILE,AL,Critical access hospital,Academic / major medical center,General acute / academic,standard_g2_l028_split,TRUE,476288924,-52047056,-0.10927622578937,4,diagnostic severe margin stress; not used for final tier,Tier 2 - moderate transition support,UC burden safety-net trigger,1894545.60614528
829285,450076,UT MD ANDERSON CANCER CENTER,HOUSTON,TX,Critical access hospital,Academic / major medical center,General acute / academic,standard_g2_l028_split,TRUE,5937638339,-518216953,-0.0872766112405689,3,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
824462,050551,UCI HEALTH - LOS ALAMITOS,LOS ALAMITOS,CA,Critical access hospital,Academic / major medical center,General acute / academic,standard_g2_l028_split,TRUE,306351420,-23633291,-0.0771443820955686,3,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
825067,500008,UNIVERSITY OF WASHINGTON MED CTR,SEATTLE,WA,Critical access hospital,Academic / major medical center,General acute / academic,standard_g2_l028_split,TRUE,2776646485,-208625435,-0.075135756794045,3,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
807678,010033,UNIVERSITY OF ALABAMA HOSPITAL,BIRMINGHAM,AL,Critical access hospital,Academic / major medical center,General acute / academic,standard_g2_l028_split,TRUE,3153986791,-226169361,-0.0717090387459394,3,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
830796,400061,UNIVERSITY DISCTRICT HOSPITAL,SAN JUAN,PR,Critical access hospital,Academic / major medical center,General acute / academic,standard_g2_l028_split,TRUE,130273470,-9106968,-0.069906543519567,3,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
812424,060011,DENVER HEALTH MEDICAL CENTER,DENVER,CO,Critical access hospital,Academic / major medical center,General acute / academic,standard_g2_l028_split,TRUE,1381922932,-89295057,-0.0646165245052899,3,diagnostic severe margin stress; not used for final tier,Tier 2 - moderate transition support,UC burden safety-net trigger,8326265.80355227
811694,260105,SSM SAINT LOUIS UNIVERSITY HOSPITAL,ST. LOUIS,MO,Short-term acute/general hospital,Academic / major medical center,General acute / academic,standard_g2_l028_split,TRUE,920688294,-58891853,-0.0639650285376606,3,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
825490,050348,UCI MEDICAL CENTER,ORANGE,CA,Critical access hospital,Academic / major medical center,General acute / academic,standard_g2_l028_split,TRUE,2696483347,-155736319,-0.0577553424067187,3,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
822189,214004,SPRINGFIELD HOSPITAL CENTER,SYKESVILLE,MD,Critical access hospital,Large hospital misclassified as CAH,General acute / academic,nonstandard_g200000_l04300_fallback,TRUE,113970399,-113970399,-1,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
822191,214018,SPRINGGROVE HOSPITAL CENTER,CATONSVILLE,MD,Critical access hospital,Large hospital misclassified as CAH,General acute / academic,nonstandard_g200000_l04300_fallback,TRUE,138311542,-138311542,-1,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
824086,222006,LEMUEL SHATTUCK HOSPITAL,JAMAICA PLAIN,MA,Critical access hospital,Large hospital misclassified as CAH,General acute / academic,nonstandard_g200000_l04300_fallback,TRUE,114503780,-114503780,-1,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
824118,304000,NEW HAMPSHIRE HOSPITAL,CONCORD,NH,Critical access hospital,Large hospital misclassified as CAH,General acute / academic,nonstandard_g200000_l04300_fallback,TRUE,105614074,-105614074,-1,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
824163,394026,TORRANCE STATE,TORRANCE,PA,Critical access hospital,Large hospital misclassified as CAH,General acute / academic,nonstandard_g200000_l04300_fallback,TRUE,118835719,-118835719,-1,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
824343,344004,CENTRAL REGIONAL HOSPITAL,BUTNER,NC,Critical access hospital,Large hospital misclassified as CAH,General acute / academic,nonstandard_g200000_l04300_fallback,TRUE,259530066,-259530066,-1,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
824941,114029,EAST CENTRAL REGIONAL HOSPITAL,AUGUSTA,GA,Critical access hospital,Large hospital misclassified as CAH,General acute / academic,nonstandard_g200000_l04300_fallback,TRUE,122300758,-122300758,-1,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
825199,222003,TEWKSBURY HOSPITAL,TEWKSBURY,MA,Critical access hospital,Large hospital misclassified as CAH,General acute / academic,nonstandard_g200000_l04300_fallback,TRUE,101937342,-101937342,-1,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
825637,364007,TWIN VALLEY RPH - COLUMBUS CAMPUS,COLUMBUS,OH,Critical access hospital,Large hospital misclassified as CAH,General acute / academic,nonstandard_g200000_l04300_fallback,TRUE,78306090,-78306090,-1,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
825639,364014,NORTHWEST - TOLEDO RPH,TOLEDO,OH,Critical access hospital,Large hospital misclassified as CAH,General acute / academic,nonstandard_g200000_l04300_fallback,TRUE,33983537,-33983537,-1,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
825641,364031,HEARTLAND RPH,MASSILLON,OH,Critical access hospital,Large hospital misclassified as CAH,General acute / academic,nonstandard_g200000_l04300_fallback,TRUE,40790399,-40790399,-1,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
825642,364035,SUMMIT RPH,CINCINNATI,OH,Critical access hospital,Large hospital misclassified as CAH,General acute / academic,nonstandard_g200000_l04300_fallback,TRUE,64352939,-64352939,-1,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
825656,394004,DANVILLE STATE,DANVILLE,PA,Critical access hospital,Large hospital misclassified as CAH,General acute / academic,nonstandard_g200000_l04300_fallback,TRUE,60699995,-60699995,-1,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
828023,114019,GEORGIA REGIONAL HOSPITAL AT ATLANTA,DECATUR,GA,Critical access hospital,Large hospital misclassified as CAH,General acute / academic,nonstandard_g200000_l04300_fallback,TRUE,108946295,-108946295,-1,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
828024,114028,GA REGIONAL HOSPITAL AT SAVANNAH,SAVANNAH,GA,Critical access hospital,Large hospital misclassified as CAH,General acute / academic,nonstandard_g200000_l04300_fallback,TRUE,61017913,-61017913,-1,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
828151,334013,PILGRIM P.C.,WEST BRENTWOOD,NY,Critical access hospital,Large hospital misclassified as CAH,General acute / academic,nonstandard_g200000_l04300_fallback,TRUE,137325930,-137325930,-1,4,diagnostic severe margin stress; not used for final tier,Tier 0 - not eligible,none,0
