clean_provider_group,clean_provider_model_class,revenue_source_method,wksht_cd,line_num_chr,clmn_num_chr,n_rows,n_reports,nonzero_reports,min_value,p25_value,median_value,mean_value,p75_value,max_value,total_value
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G000000,01400,00100,26,26,26,-3828209,-569712.75,-289243.5,-485731.5,-86407.25,243901,-12629019
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G000000,01500,00100,31,31,31,371480,3437149.5,11202286,14530016.8387097,21031843.5,44435367,450430522
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G000000,01600,00100,31,31,31,-35027868,-11114322.5,-7682803,-8991959.41935484,-2161419.5,-1126,-278750742
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G000000,01700,00100,9,9,9,206829,730648,859079,2107292.11111111,2248387,6954573,18965629
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G000000,01800,00100,7,7,7,-4091555,-1649742.5,-728358,-1288267.42857143,-403688,-91098,-9017872
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G000000,01900,00100,23,23,23,2199,312359.5,658493,1964285.65217391,2656913,13953776,45178570
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G000000,02000,00100,23,23,23,-10248139,-1324519.5,-300985,-1205724.34782609,-104003,894910,-27731660
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G000000,02100,00100,9,9,9,13014,33514,47195,163579.777777778,104286,799000,1472218
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G000000,02200,00100,9,9,9,-799000,-55398,-47195,-128423.111111111,-13014,16683,-1155808
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G000000,02300,00100,31,31,31,214405,3184850.5,6215351,7687691.4516129,10418791,21639960,238318435
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G000000,02400,00100,30,30,30,-16566808,-6919490.25,-5025520,-5450926.8,-2186398.5,-170903,-163527804
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G000000,02500,00100,6,6,6,12229,54399.5,69416,167018.833333333,185411,577582,1002113
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G000000,02600,00100,6,6,6,-413407,-165912.5,-45285.5,-116890.166666667,-3188.75,-2085,-701341
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G000000,02700,00100,3,3,3,220487,402833,585179,640831.666666667,851004,1116829,1922495
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G000000,02800,00100,3,3,3,-1116829,-814418,-512007,-593471.666666667,-331793,-151579,-1780415
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G000000,02900,00100,4,4,4,29712,31262.25,179179,420069.25,567986,1292207,1680277
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G000000,03000,00100,33,33,33,722283,3132808,7911913,9681299.27272727,15050783,26034385,319482876
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G000000,03100,00100,11,11,11,131962,960717.5,1334557,14328401.9090909,2486541,139039370,157612421
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G000000,03300,00100,2,2,2,-218767874,-163910513,-109053152,-109053152,-54195791,661570,-218106304
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G000000,03400,00100,26,26,26,-137268,106608.25,434311.5,4251220.07692308,5352692.5,45717701,110531722
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G000000,03400,00200,2,2,2,234891,707475.75,1180060.5,1180060.5,1652645.25,2125230,2360121
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G000000,03500,00100,30,30,30,-218459866,213285.75,1362281.5,1667927.96666667,6379895.5,138902102,50037839
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G000000,03500,00200,2,2,2,234891,707475.75,1180060.5,1180060.5,1652645.25,2125230,2360121
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G000000,03600,00100,33,33,33,1572829,10961849,23458243,41593665.5151515,55713010,171393838,1372590962
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G000000,03600,00200,3,3,3,52092,143491.5,234891,804071,1180060.5,2125230,2412213
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G000000,03700,00100,33,33,33,22827,258350,742977,6616701.45454545,1957621,146284291,218351148
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G000000,03800,00100,30,30,30,33279,293809.5,688275.5,928231.333333333,1171654.75,5099970,27846940
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G000000,03900,00100,12,12,12,1979,5093.75,17668.5,32246.1666666667,53852.25,97892,386954
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G000000,04000,00100,8,8,8,65585,125533.5,140038,306625.25,222080.25,1309644,2453002
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G000000,04100,00100,5,5,5,1,8880,23139,378486.4,26656,1833756,1892432
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G000000,04300,00100,13,13,13,-138604580,1373,1111834,-9800442.46153846,1532677,2723845,-127405752
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G000000,04400,00100,32,32,32,4544,228612.25,1517624,3982349.96875,3227225.5,45325841,127435199
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G000000,04500,00100,33,33,33,-114598579,1423624,4736061,7604846.15151515,7672310,150742056,250959923
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G000000,04700,00100,8,8,8,173807,2383183.75,4755075,6198317.5,8182193.75,19008637,49586540
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G000000,04800,00100,4,4,4,42075,97236,119430.5,915103.5,937298,3379478,3660414
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G000000,04900,00100,25,25,25,26356,200185,1063400,18136280.8,5105449,256205601,453407020
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G000000,05000,00100,27,27,27,35387,767646.5,3027716,18764962,8814710.5,256205601,506653974
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G000000,05100,00100,33,33,33,-108701189,2261677,7678943,22957996.8787879,15507272,260937244,757613897
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G000000,05200,00100,32,32,32,-209257485,643809.25,6752876.5,19218033.28125,30014001.25,193067857,614977065
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G000000,05300,00200,3,3,3,52092,143491.5,234891,804071,1180060.5,2125230,2412213
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G000000,05900,00100,32,32,32,-209257485,643809.25,6752876.5,19218033.28125,30014001.25,193067857,614977065
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G000000,05900,00200,3,3,3,52092,143491.5,234891,804071,1180060.5,2125230,2412213
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G000000,06000,00100,33,33,33,1572829,10961849,23458243,41593665.5151515,55713010,171393838,1372590962
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G000000,06000,00200,3,3,3,52092,143491.5,234891,804071,1180060.5,2125230,2412213
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G100000,00100,00200,32,32,32,-215032811,1562736.25,5452265.5,14130195.9375,29358304,141819470,452166270
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G100000,00100,00400,3,3,3,55076,144983.5,234891,782440,1146122,2057353,2347320
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G100000,00200,00200,34,34,34,-14314031,773923.75,3674162,8235355.67647059,10195055.75,94777571,280002093
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G100000,00300,00200,34,34,34,-209309904,2333066.75,10667635,21534363.6176471,42679120.75,193067860,732168363
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G100000,00300,00400,3,3,3,55076,144983.5,234891,782440,1146122,2057353,2347320
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G100000,00400,00100,10,10,10,-3770957,3,7415,77444.8,189143.25,4711422,774448
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G100000,00500,00100,4,4,4,-5262634,-1314631,15761,-888068,442324,1678840,-3552272
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G100000,00500,00300,1,1,1,2001,2001,2001,2001,2001,2001,2001
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G100000,00600,00100,2,2,2,3634,7353.75,11073.5,11073.5,14793.25,18513,22147
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G100000,00600,00300,1,1,1,48905,48905,48905,48905,48905,48905,48905
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G100000,00700,00100,1,1,1,492790,492790,492790,492790,492790,492790,492790
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G100000,00800,00100,2,2,2,537618,700041,862464,862464,1024887,1187310,1724928
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G100000,00800,00300,1,1,1,-4985,-4985,-4985,-4985,-4985,-4985,-4985
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G100000,00900,00100,2,2,2,1,2,3,3,4,5,6
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G100000,01000,00200,16,16,16,-4706503,5,7500.5,-33622.0625,242391,6390262,-537953
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G100000,01000,00400,2,2,2,-2984,9988.25,22960.5,22960.5,35932.75,48905,45921
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G100000,01100,00200,34,34,34,-209309904,892806.5,10667635,21518541.4705882,42679121.25,193067860,731630410
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G100000,01100,00400,3,3,3,52092,143491.5,234891,797747,1170574.5,2106258,2393241
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G100000,01200,00100,19,19,19,-52419,144076,1274922,4055909.42105263,5928277,27102078,77062279
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G100000,01300,00100,4,4,4,219996,2304999,4994931,4922635,7612567,9480682,19690540
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G100000,01400,00100,2,2,2,121433,278574.75,435716.5,435716.5,592858.25,750000,871433
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G100000,01400,00300,1,1,1,-18972,-18972,-18972,-18972,-18972,-18972,-18972
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G100000,01600,00100,3,3,3,1578,269157.5,536737,724683,1086235.5,1635734,2174049
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G100000,01700,00100,1,1,1,2,2,2,2,2,2,2
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G100000,01800,00200,22,22,22,-52419,448123.75,1558960.5,4536286.5,6933553.75,27102078,99798303
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G100000,01800,00400,1,1,1,-18972,-18972,-18972,-18972,-18972,-18972,-18972
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G100000,01900,00200,33,33,33,-209257485,741058,7081551,19146427.4848485,28434345,193067857,631832107
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G100000,01900,00400,3,3,3,52092,143491.5,234891,804071,1180060.5,2125230,2412213
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,00100,00100,34,34,34,94648,946263.75,2037641.5,2569224.79411765,3905636.75,7845533,87353643
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,00100,00300,34,34,34,94648,946263.75,2037641.5,2569224.79411765,3905636.75,7845533,87353643
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,00500,00100,12,12,12,169865,302464.75,366171.5,615840.666666667,518448,2283459,7390088
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,00500,00300,12,12,12,169865,302464.75,366171.5,615840.666666667,518448,2283459,7390088
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,00600,00100,5,5,5,7933,39867,125394,167277.4,257692,405501,836387
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,00600,00300,5,5,5,7933,39867,125394,167277.4,257692,405501,836387
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,00900,00100,4,4,4,219664,228364.75,533994.5,784805.75,1090435.5,1851570,3139223
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,00900,00300,4,4,4,219664,228364.75,533994.5,784805.75,1090435.5,1851570,3139223
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,01000,00100,34,34,34,352035,1194538.75,2333898,2903510.02941177,4081198.5,8126229,98719341
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,01000,00300,34,34,34,352035,1194538.75,2333898,2903510.02941177,4081198.5,8126229,98719341
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,01100,00100,3,3,3,161112,233336,305560,371840.666666667,477205,648850,1115522
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,01100,00300,3,3,3,161112,233336,305560,371840.666666667,477205,648850,1115522
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,01200,00100,1,1,1,1096662,1096662,1096662,1096662,1096662,1096662,1096662
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,01200,00300,1,1,1,1096662,1096662,1096662,1096662,1096662,1096662,1096662
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,01600,00100,4,4,4,161112,269448,477205,553046,760803,1096662,2212184
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,01600,00300,4,4,4,161112,269448,477205,553046,760803,1096662,2212184
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,01700,00100,34,34,34,352035,1194538.75,2333898,2968574.26470588,4081198.5,8126229,100931525
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,01700,00300,34,34,34,352035,1194538.75,2333898,2968574.26470588,4081198.5,8126229,100931525
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,01800,00100,30,30,30,228963,1638921.75,3313191,5892652.63333333,6821763.25,31686443,176779579
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,01800,00200,30,30,30,7337133,42878684.25,63513805.5,85797954.7,103031169.25,424792528,2573938641
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,01800,00300,30,30,30,7935917,45380935.5,66300024,91690607.3333333,109772151,456478971,2750718220
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,01900,00100,29,29,29,40376,314844,463948,1056252.06896552,1403830,6021757,30631310
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,01900,00200,31,31,31,230,12527782,19695584,44400918.8709677,27481027,629616585,1376428485
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,01900,00300,31,31,31,230,12678903,20010428,45389025.6451613,29100209,635638342,1407059795
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,02000,00100,1,1,1,4791,4791,4791,4791,4791,4791,4791
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,02000,00200,11,11,11,250770,3054108.5,6509445,6449351,8358112,14626281,70942861
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,02000,00300,11,11,11,250770,3054108.5,6514236,6449786.54545455,8358112,14626281,70947652
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,02001,00200,9,9,9,372740,770088,1466224,2290884.55555556,3481259,4863436,20617961
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,02001,00300,9,9,9,372740,770088,1466224,2290884.55555556,3481259,4863436,20617961
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,02002,00100,1,1,1,1332,1332,1332,1332,1332,1332,1332
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,02002,00200,3,3,3,2465619,3202216,3938813,4706285.66666667,5826619,7714425,14118857
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,02002,00300,3,3,3,2465619,3202216,3938813,4706729.66666667,5827285,7715757,14120189
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,02003,00200,2,2,2,1396106,2611678,3827250,3827250,5042822,6258394,7654500
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,02003,00300,2,2,2,1396106,2611678,3827250,3827250,5042822,6258394,7654500
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,02300,00100,2,2,2,16770,25829,34888,34888,43947,53006,69776
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,02300,00200,3,3,3,1122953,1308185.5,1493418,2823253.33333333,3673403.5,5853389,8469760
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,02300,00300,3,3,3,1122953,1334688.5,1546424,2846512,3708291.5,5870159,8539536
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,02700,00100,11,11,11,-2505247,24957,40548,-112686.363636364,159202,371348,-1239550
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,02700,00200,21,21,21,-31371,2387,122460,3370402.42857143,2284497,24604033,70778451
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,02700,00300,23,23,23,-220750,2029,112243,3023430.47826087,1550764.5,24604033,69538901
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,02701,00100,3,3,3,132,113602,227072,153068,229536,232000,459204
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,02701,00200,5,5,5,53,2467231,3063492,31419439.2,4658558,146907862,157097196
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,02701,00300,6,6,6,53,673674.75,2878897.5,26259400,4433791.5,146907862,157556400
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,02702,00100,1,1,1,-38242,-38242,-38242,-38242,-38242,-38242,-38242
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,02702,00200,3,3,3,-418463,-209159.5,144,-137399.333333333,3132.5,6121,-412198
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,02702,00300,3,3,3,-456705,-228280.5,144,-150146.666666667,3132.5,6121,-450440
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,02703,00100,1,1,1,355147,355147,355147,355147,355147,355147,355147
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,02703,00200,3,3,3,1036683,1049327.5,1061972,5079076,7100272.5,13138573,15237228
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,02703,00300,3,3,3,1036683,1049327.5,1061972,5197458.33333333,7277846,13493720,15592375
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,02704,00200,1,1,1,315358,315358,315358,315358,315358,315358,315358
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,02704,00300,1,1,1,315358,315358,315358,315358,315358,315358,315358
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,02799,00100,1,1,1,5459,5459,5459,5459,5459,5459,5459
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,02799,00200,1,1,1,34928350,34928350,34928350,34928350,34928350,34928350,34928350
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,02799,00300,1,1,1,34933809,34933809,34933809,34933809,34933809,34933809,34933809
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,02800,00100,34,34,34,553335,2610201,6361686,9057656.79411765,11608921.75,40888302,307960331
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,02800,00200,34,34,34,230,56833060.75,94202722,127944572.058824,124075405.5,998274123,4350115450
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,02800,00300,34,34,34,553565,59175115.5,102970593.5,137002228.852941,134034772.25,1038236774,4658075781
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,02900,00200,34,34,34,1162376,19915192,27403313.5,37140833.9411765,41082256,309814551,1262788354
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,03000,00100,3,3,3,114447,2412934.5,4711422,5363716.33333333,7988351,11265280,16091149
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,03100,00100,2,2,2,1678840,2266662.25,2854484.5,2854484.5,3442306.75,4030129,5708969
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,03600,00200,4,4,4,114447,3051208.5,5210195.5,5450029.5,7609016.5,11265280,21800118
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,03700,00100,3,3,3,2,16498.5,32995,727928.333333334,1091891.5,2150788,2183785
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,03800,00100,1,1,1,1445019,1445019,1445019,1445019,1445019,1445019,1445019
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,04200,00200,4,4,4,2,24746.75,739007,907201,1621461.25,2150788,3628804
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G200000,04300,00200,34,34,34,1162376,19915192,29976377,37675284.3529412,39998491.75,309814551,1280959668
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G300000,00100,00100,34,34,34,553565,59175115.5,102970593.5,137002228.852941,134034772.25,1038236774,4658075781
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G300000,00200,00100,32,32,32,4454,35267860.25,62489272,100788977.75,101041353.25,679577658,3225247288
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G300000,00300,00100,34,34,34,494552,20898546.5,30565388,42142014.5,47154873,358659116,1432828493
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G300000,00400,00100,34,34,34,1162376,19915192,29976377,37675284.3529412,39998491.75,309814551,1280959668
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G300000,00500,00100,34,34,34,-16900498,-584824,1442024.5,4466730.14705882,7275027.5,48844565,151868825
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G300000,00600,00100,18,18,18,-258537,-6302.25,7680.5,67156.5555555556,85312.25,527959,1208818
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G300000,00700,00100,17,17,17,-294352,411,50072,516241.647058824,245928,6150334,8776108
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G300000,01000,00100,3,3,3,75,367.5,660,42587,63843,127026,127761
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G300000,01100,00100,2,2,2,4216,16070.25,27924.5,27924.5,39778.75,51633,55849
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G300000,01400,00100,22,22,22,201,44642.25,64925,75489.8636363636,90435.5,220283,1660777
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G300000,01700,00100,11,11,11,-3076390,4029.5,342538,146957.090909091,540239,1503976,1616528
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G300000,01800,00100,3,3,3,40,40,40,84.3333333333333,106.5,173,253
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G300000,01900,00100,1,1,1,36000,36000,36000,36000,36000,36000,36000
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G300000,02000,00100,2,2,2,35540,44962.75,54385.5,54385.5,63808.25,73231,108771
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G300000,02100,00100,2,2,2,274,646,1018,1018,1390,1762,2036
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G300000,02200,00100,15,15,15,5676,28126,64253,148602.266666667,135793,1134467,2229034
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G300000,02300,00100,4,4,4,15217,1161231.25,1616694,2872678,3328140.75,8242107,11490712
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G300000,02400,00100,32,32,32,-1192,48703.25,431782,1332256.90625,1588500,11989646,42632221
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G300000,02401,00100,11,11,11,-251770,1195.5,24387,384379.818181818,88421.5,2291138,4228178
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G300000,02402,00100,7,7,7,-2522031,1487.5,32935,-179118.285714286,106846,1018601,-1253828
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G300000,02403,00100,5,5,5,-21300,47736,1e+05,9962853.2,905369,48782461,49814266
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G300000,02404,00100,3,3,3,10274,83127.5,155981,156352.333333333,229391.5,302802,469057
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G300000,02405,00100,3,3,3,-22,8989,18000,28176,42275,66550,84528
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G300000,02406,00100,2,2,2,-612,7537.25,15686.5,15686.5,23835.75,31985,31373
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G300000,02407,00100,1,1,1,350437,350437,350437,350437,350437,350437,350437
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G300000,02410,00100,1,1,1,455753,455753,455753,455753,455753,455753,455753
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G300000,02413,00100,1,1,1,353133,353133,353133,353133,353133,353133,353133
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G300000,02419,00100,1,1,1,390,390,390,390,390,390,390
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G300000,02424,00100,1,1,1,17,17,17,17,17,17,17
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G300000,02425,00100,1,1,1,468500,468500,468500,468500,468500,468500,468500
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G300000,02426,00100,1,1,1,112,112,112,112,112,112,112
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G300000,02450,00100,2,2,2,8489,235366.75,462244.5,462244.5,689122.25,916000,924489
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G300000,02500,00100,34,34,34,52890,480429,1661517.5,3702096.26470588,3106986,45933006,125871273
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G300000,02600,00100,34,34,34,-14314031,773923.75,3386952,8168826.41176471,10150190,94777571,277740098
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G300000,02700,00100,5,5,5,-3052167,-814709,14700,-474408.8,35163,1444969,-2372044
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G300000,02702,00100,1,1,1,7255,7255,7255,7255,7255,7255,7255
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G300000,02703,00100,1,1,1,102794,102794,102794,102794,102794,102794,102794
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G300000,02800,00100,5,5,5,-3052167,-814709,14700,-452399,145212,1444969,-2261995
General acute / academic,Short-term acute/general hospital,standard_g2_l028_split,G300000,02900,00100,34,34,34,-14314031,773923.75,3674162,8235355.67647059,10195055.75,94777571,280002093
Rural / CAH / IHS,CAH candidate - internally safe,standard_g2_l028_split,G000000,00100,00100,1,1,1,11088447,11088447,11088447,11088447,11088447,11088447,11088447
Rural / CAH / IHS,CAH candidate - internally safe,standard_g2_l028_split,G000000,00400,00100,1,1,1,2475729,2475729,2475729,2475729,2475729,2475729,2475729
Rural / CAH / IHS,CAH candidate - internally safe,standard_g2_l028_split,G000000,00500,00100,1,1,1,8753414,8753414,8753414,8753414,8753414,8753414,8753414
Rural / CAH / IHS,CAH candidate - internally safe,standard_g2_l028_split,G000000,00700,00100,1,1,1,171804,171804,171804,171804,171804,171804,171804
Rural / CAH / IHS,CAH candidate - internally safe,standard_g2_l028_split,G000000,00800,00100,1,1,1,51292,51292,51292,51292,51292,51292,51292
Rural / CAH / IHS,CAH candidate - internally safe,standard_g2_l028_split,G000000,01100,00100,1,1,1,22540686,22540686,22540686,22540686,22540686,22540686,22540686
Rural / CAH / IHS,CAH candidate - internally safe,standard_g2_l028_split,G000000,01500,00100,1,1,1,37741149,37741149,37741149,37741149,37741149,37741149,37741149
